2022-01-08 17:42:52,903 | INFO | extract.py | <module> | Start of program.
2022-01-08 17:43:09,557 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,557 | INFO | load.py | update_db | But item 47 exists already in the database
2022-01-08 17:43:09,562 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,562 | INFO | load.py | update_db | But item 48 exists already in the database
2022-01-08 17:43:09,566 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,567 | INFO | load.py | update_db | But item 49 exists already in the database
2022-01-08 17:43:09,571 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,572 | INFO | load.py | update_db | But item 50 exists already in the database
2022-01-08 17:43:09,576 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,577 | INFO | load.py | update_db | But item 51 exists already in the database
2022-01-08 17:43:09,581 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,582 | INFO | load.py | update_db | But item 52 exists already in the database
2022-01-08 17:43:09,585 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,586 | INFO | load.py | update_db | But item 53 exists already in the database
2022-01-08 17:43:09,590 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,591 | INFO | load.py | update_db | But item 54 exists already in the database
2022-01-08 17:43:09,595 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,596 | INFO | load.py | update_db | But item 55 exists already in the database
2022-01-08 17:43:09,600 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,601 | INFO | load.py | update_db | But item 56 exists already in the database
2022-01-08 17:43:09,605 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,605 | INFO | load.py | update_db | But item 57 exists already in the database
2022-01-08 17:43:09,609 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,610 | INFO | load.py | update_db | But item 58 exists already in the database
2022-01-08 17:43:09,614 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,615 | INFO | load.py | update_db | But item 59 exists already in the database
2022-01-08 17:43:09,619 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,620 | INFO | load.py | update_db | But item 60 exists already in the database
2022-01-08 17:43:09,624 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,625 | INFO | load.py | update_db | But item 61 exists already in the database
2022-01-08 17:43:09,629 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,629 | INFO | load.py | update_db | But item 62 exists already in the database
2022-01-08 17:43:09,633 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,634 | INFO | load.py | update_db | But item 63 exists already in the database
2022-01-08 17:43:09,638 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,639 | INFO | load.py | update_db | But item 64 exists already in the database
2022-01-08 17:43:09,643 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,644 | INFO | load.py | update_db | But item 65 exists already in the database
2022-01-08 17:43:09,648 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,649 | INFO | load.py | update_db | But item 66 exists already in the database
2022-01-08 17:43:09,653 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,653 | INFO | load.py | update_db | But item 67 exists already in the database
2022-01-08 17:43:09,657 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,658 | INFO | load.py | update_db | But item 68 exists already in the database
2022-01-08 17:43:09,662 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,663 | INFO | load.py | update_db | But item 69 exists already in the database
2022-01-08 17:43:09,667 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,668 | INFO | load.py | update_db | But item 70 exists already in the database
2022-01-08 17:43:09,672 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,673 | INFO | load.py | update_db | But item 71 exists already in the database
2022-01-08 17:43:09,677 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,678 | INFO | load.py | update_db | But item 72 exists already in the database
2022-01-08 17:43:09,682 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,683 | INFO | load.py | update_db | But item 73 exists already in the database
2022-01-08 17:43:09,687 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,687 | INFO | load.py | update_db | But item 74 exists already in the database
2022-01-08 17:43:09,691 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,692 | INFO | load.py | update_db | But item 75 exists already in the database
2022-01-08 17:43:09,696 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,697 | INFO | load.py | update_db | But item 76 exists already in the database
2022-01-08 17:43:09,701 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,702 | INFO | load.py | update_db | But item 77 exists already in the database
2022-01-08 17:43:09,706 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,707 | INFO | load.py | update_db | But item 78 exists already in the database
2022-01-08 17:43:09,711 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,711 | INFO | load.py | update_db | But item 79 exists already in the database
2022-01-08 17:43:09,715 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,716 | INFO | load.py | update_db | But item 80 exists already in the database
2022-01-08 17:43:09,720 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,721 | INFO | load.py | update_db | But item 81 exists already in the database
2022-01-08 17:43:09,725 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,726 | INFO | load.py | update_db | But item 82 exists already in the database
2022-01-08 17:43:09,730 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,731 | INFO | load.py | update_db | But item 83 exists already in the database
2022-01-08 17:43:09,735 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,735 | INFO | load.py | update_db | But item 84 exists already in the database
2022-01-08 17:43:09,739 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,740 | INFO | load.py | update_db | But item 85 exists already in the database
2022-01-08 17:43:09,744 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,745 | INFO | load.py | update_db | But item 86 exists already in the database
2022-01-08 17:43:09,749 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,750 | INFO | load.py | update_db | But item 87 exists already in the database
2022-01-08 17:43:09,754 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,755 | INFO | load.py | update_db | But item 88 exists already in the database
2022-01-08 17:43:09,759 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,759 | INFO | load.py | update_db | But item 89 exists already in the database
2022-01-08 17:43:09,763 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,764 | INFO | load.py | update_db | But item 90 exists already in the database
2022-01-08 17:43:09,768 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,769 | INFO | load.py | update_db | But item 91 exists already in the database
2022-01-08 17:43:09,773 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,774 | INFO | load.py | update_db | But item 92 exists already in the database
2022-01-08 17:43:09,778 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,779 | INFO | load.py | update_db | But item 93 exists already in the database
2022-01-08 17:43:09,783 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,783 | INFO | load.py | update_db | But item 94 exists already in the database
2022-01-08 17:43:09,787 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,788 | INFO | load.py | update_db | But item 95 exists already in the database
2022-01-08 17:43:09,792 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,793 | INFO | load.py | update_db | But item 96 exists already in the database
2022-01-08 17:43:09,797 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,798 | INFO | load.py | update_db | But item 97 exists already in the database
2022-01-08 17:43:09,802 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,803 | INFO | load.py | update_db | But item 98 exists already in the database
2022-01-08 17:43:09,806 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,807 | INFO | load.py | update_db | But item 99 exists already in the database
2022-01-08 17:43:09,811 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,812 | INFO | load.py | update_db | But item 100 exists already in the database
2022-01-08 17:43:09,816 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,817 | INFO | load.py | update_db | But item 101 exists already in the database
2022-01-08 17:43:09,821 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,822 | INFO | load.py | update_db | But item 102 exists already in the database
2022-01-08 17:43:09,826 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,827 | INFO | load.py | update_db | But item 103 exists already in the database
2022-01-08 17:43:09,831 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,831 | INFO | load.py | update_db | But item 104 exists already in the database
2022-01-08 17:43:09,835 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,836 | INFO | load.py | update_db | But item 105 exists already in the database
2022-01-08 17:43:09,840 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,841 | INFO | load.py | update_db | But item 106 exists already in the database
2022-01-08 17:43:09,845 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,846 | INFO | load.py | update_db | But item 107 exists already in the database
2022-01-08 17:43:09,850 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,851 | INFO | load.py | update_db | But item 108 exists already in the database
2022-01-08 17:43:09,854 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,855 | INFO | load.py | update_db | But item 109 exists already in the database
2022-01-08 17:43:09,859 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,860 | INFO | load.py | update_db | But item 110 exists already in the database
2022-01-08 17:43:09,864 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,865 | INFO | load.py | update_db | But item 111 exists already in the database
2022-01-08 17:43:09,869 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,870 | INFO | load.py | update_db | But item 112 exists already in the database
2022-01-08 17:43:09,874 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,875 | INFO | load.py | update_db | But item 113 exists already in the database
2022-01-08 17:43:09,879 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,880 | INFO | load.py | update_db | But item 114 exists already in the database
2022-01-08 17:43:09,884 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,884 | INFO | load.py | update_db | But item 115 exists already in the database
2022-01-08 17:43:09,888 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,889 | INFO | load.py | update_db | But item 116 exists already in the database
2022-01-08 17:43:09,893 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,894 | INFO | load.py | update_db | But item 117 exists already in the database
2022-01-08 17:43:09,898 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,899 | INFO | load.py | update_db | But item 118 exists already in the database
2022-01-08 17:43:09,903 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,904 | INFO | load.py | update_db | But item 119 exists already in the database
2022-01-08 17:43:09,907 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,908 | INFO | load.py | update_db | But item 120 exists already in the database
2022-01-08 17:43:09,912 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,913 | INFO | load.py | update_db | But item 121 exists already in the database
2022-01-08 17:43:09,917 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,918 | INFO | load.py | update_db | But item 122 exists already in the database
2022-01-08 17:43:09,922 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,923 | INFO | load.py | update_db | But item 123 exists already in the database
2022-01-08 17:43:09,927 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,928 | INFO | load.py | update_db | But item 124 exists already in the database
2022-01-08 17:43:09,932 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,933 | INFO | load.py | update_db | But item 125 exists already in the database
2022-01-08 17:43:09,937 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,937 | INFO | load.py | update_db | But item 126 exists already in the database
2022-01-08 17:43:09,941 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,942 | INFO | load.py | update_db | But item 127 exists already in the database
2022-01-08 17:43:09,946 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,947 | INFO | load.py | update_db | But item 128 exists already in the database
2022-01-08 17:43:09,951 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,952 | INFO | load.py | update_db | But item 129 exists already in the database
2022-01-08 17:43:09,956 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,957 | INFO | load.py | update_db | But item 130 exists already in the database
2022-01-08 17:43:09,961 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,962 | INFO | load.py | update_db | But item 131 exists already in the database
2022-01-08 17:43:09,966 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,967 | INFO | load.py | update_db | But item 132 exists already in the database
2022-01-08 17:43:09,971 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,972 | INFO | load.py | update_db | But item 133 exists already in the database
2022-01-08 17:43:09,976 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,976 | INFO | load.py | update_db | But item 134 exists already in the database
2022-01-08 17:43:09,981 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,981 | INFO | load.py | update_db | But item 135 exists already in the database
2022-01-08 17:43:09,985 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,986 | INFO | load.py | update_db | But item 136 exists already in the database
2022-01-08 17:43:09,990 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,991 | INFO | load.py | update_db | But item 137 exists already in the database
2022-01-08 17:43:09,995 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:09,996 | INFO | load.py | update_db | But item 138 exists already in the database
2022-01-08 17:43:10,000 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,001 | INFO | load.py | update_db | But item 139 exists already in the database
2022-01-08 17:43:10,005 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,005 | INFO | load.py | update_db | But item 140 exists already in the database
2022-01-08 17:43:10,009 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,010 | INFO | load.py | update_db | But item 141 exists already in the database
2022-01-08 17:43:10,014 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,015 | INFO | load.py | update_db | But item 142 exists already in the database
2022-01-08 17:43:10,019 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,020 | INFO | load.py | update_db | But item 143 exists already in the database
2022-01-08 17:43:10,024 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,025 | INFO | load.py | update_db | But item 144 exists already in the database
2022-01-08 17:43:10,029 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,030 | INFO | load.py | update_db | But item 145 exists already in the database
2022-01-08 17:43:10,034 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,035 | INFO | load.py | update_db | But item 146 exists already in the database
2022-01-08 17:43:10,039 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,040 | INFO | load.py | update_db | But item 147 exists already in the database
2022-01-08 17:43:10,044 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,045 | INFO | load.py | update_db | But item 148 exists already in the database
2022-01-08 17:43:10,049 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,049 | INFO | load.py | update_db | But item 149 exists already in the database
2022-01-08 17:43:10,053 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,054 | INFO | load.py | update_db | But item 150 exists already in the database
2022-01-08 17:43:10,058 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,059 | INFO | load.py | update_db | But item 151 exists already in the database
2022-01-08 17:43:10,063 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,064 | INFO | load.py | update_db | But item 152 exists already in the database
2022-01-08 17:43:10,068 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,069 | INFO | load.py | update_db | But item 153 exists already in the database
2022-01-08 17:43:10,073 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,074 | INFO | load.py | update_db | But item 154 exists already in the database
2022-01-08 17:43:10,078 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,079 | INFO | load.py | update_db | But item 155 exists already in the database
2022-01-08 17:43:10,083 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,083 | INFO | load.py | update_db | But item 156 exists already in the database
2022-01-08 17:43:10,087 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,088 | INFO | load.py | update_db | But item 157 exists already in the database
2022-01-08 17:43:10,092 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,093 | INFO | load.py | update_db | But item 158 exists already in the database
2022-01-08 17:43:10,097 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,098 | INFO | load.py | update_db | But item 159 exists already in the database
2022-01-08 17:43:10,102 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,103 | INFO | load.py | update_db | But item 160 exists already in the database
2022-01-08 17:43:10,107 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,108 | INFO | load.py | update_db | But item 161 exists already in the database
2022-01-08 17:43:10,112 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,112 | INFO | load.py | update_db | But item 162 exists already in the database
2022-01-08 17:43:10,116 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,117 | INFO | load.py | update_db | But item 163 exists already in the database
2022-01-08 17:43:10,121 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,122 | INFO | load.py | update_db | But item 164 exists already in the database
2022-01-08 17:43:10,126 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,127 | INFO | load.py | update_db | But item 165 exists already in the database
2022-01-08 17:43:10,131 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,132 | INFO | load.py | update_db | But item 166 exists already in the database
2022-01-08 17:43:10,136 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,136 | INFO | load.py | update_db | But item 167 exists already in the database
2022-01-08 17:43:10,140 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,141 | INFO | load.py | update_db | But item 168 exists already in the database
2022-01-08 17:43:10,145 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,146 | INFO | load.py | update_db | But item 169 exists already in the database
2022-01-08 17:43:10,150 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,151 | INFO | load.py | update_db | But item 170 exists already in the database
2022-01-08 17:43:10,155 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,156 | INFO | load.py | update_db | But item 171 exists already in the database
2022-01-08 17:43:10,160 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,160 | INFO | load.py | update_db | But item 172 exists already in the database
2022-01-08 17:43:10,164 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,165 | INFO | load.py | update_db | But item 173 exists already in the database
2022-01-08 17:43:10,169 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,170 | INFO | load.py | update_db | But item 174 exists already in the database
2022-01-08 17:43:10,174 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,175 | INFO | load.py | update_db | But item 175 exists already in the database
2022-01-08 17:43:10,179 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,180 | INFO | load.py | update_db | But item 176 exists already in the database
2022-01-08 17:43:10,184 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,185 | INFO | load.py | update_db | But item 177 exists already in the database
2022-01-08 17:43:10,189 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,189 | INFO | load.py | update_db | But item 178 exists already in the database
2022-01-08 17:43:10,193 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,194 | INFO | load.py | update_db | But item 179 exists already in the database
2022-01-08 17:43:10,198 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,199 | INFO | load.py | update_db | But item 180 exists already in the database
2022-01-08 17:43:10,203 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,204 | INFO | load.py | update_db | But item 181 exists already in the database
2022-01-08 17:43:10,208 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,209 | INFO | load.py | update_db | But item 182 exists already in the database
2022-01-08 17:43:10,213 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,213 | INFO | load.py | update_db | But item 183 exists already in the database
2022-01-08 17:43:10,218 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,218 | INFO | load.py | update_db | But item 184 exists already in the database
2022-01-08 17:43:10,222 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,223 | INFO | load.py | update_db | But item 185 exists already in the database
2022-01-08 17:43:10,227 | INFO | load.py | update_db | Select query successful
2022-01-08 17:43:10,228 | INFO | load.py | update_db | But item 186 exists already in the database
2022-01-08 17:43:10,232 | INFO | load.py | update_db | Select query successful
